         x            f(x)
  -10.0000      5.54402111
   -9.9000      5.40753589
   -9.8000      5.26647913
   -9.7000      5.12176063
   -9.6000      4.97432678
   -9.5000      4.82515112
   -9.4000      4.67522457
   -9.3000      4.52554558
   -9.2000      4.37711009
   -9.1000      4.23090164
   -9.0000      4.08788151
   -8.9000      3.94897914
   -8.8000      3.81508281
   -8.7000      3.68703077
   -8.6000      3.56560290
   -8.5000      3.45151289
   -8.4000      3.34540109
   -8.3000      3.24782817
   -8.2000      3.15926944
   -8.1000      3.08011019
   -8.0000      3.01064175
   -7.9000      2.95105866
   -7.8000      2.90145665
   -7.7000      2.86183177
   -7.6000      2.83208033
   -7.5000      2.81200002
   -7.4000      2.80129190
   -7.3000      2.79956338
   -7.2000      2.80633214
   -7.1000      2.82103096
   -7.0000      2.84301340
   -6.9000      2.87156024
   -6.8000      2.90588665
   -6.7000      2.94515008
   -6.6000      2.98845864
   -6.5000      3.03488001
   -6.4000      3.08345080
   -6.3000      3.13318610
   -6.2000      3.18308940
   -6.1000      3.23216250
   -6.0000      3.27941550
   -5.9000      3.32387666
   -5.8000      3.36460218
   -5.7000      3.40068554
   -5.6000      3.43126664
   -5.5000      3.45554033
   -5.4000      3.47276449
   -5.3000      3.48226744
   -5.2000      3.48345466
   -5.1000      3.47581468
   -5.0000      3.45892427
   -4.9000      3.43245261
   -4.8000      3.39616461
   -4.7000      3.34992326
   -4.6000      3.29369100
   -4.5000      3.22753012
   -4.4000      3.15160207
   -4.3000      3.06616594
   -4.2000      2.97157577
   -4.1000      2.86827711
   -4.0000      2.75680250
   -3.9000      2.63776616
   -3.8000      2.51185789
   -3.7000      2.37983614
   -3.6000      2.24252044
   -3.5000      2.10078323
   -3.4000      1.95554110
   -3.3000      1.80774569
   -3.2000      1.65837414
   -3.1000      1.50841934
   -3.0000      1.35887999
   -2.9000      1.21075067
   -2.8000      1.06501185
   -2.7000      0.92262012
   -2.6000      0.78449863
   -2.5000      0.65152786
   -2.4000      0.52453682
   -2.3000      0.40429479
   -2.2000      0.29150360
   -2.1000      0.18679063
   -2.0000      0.09070257
   -1.9000      0.00369991
   -1.8000     -0.07384763
   -1.7000     -0.14166481
   -1.6000     -0.19957360
   -1.5000     -0.24749499
   -1.4000     -0.28544973
   -1.3000     -0.31355819
   -1.2000     -0.33203909
   -1.1000     -0.34120736
   -1.0000     -0.34147098
   -0.9000     -0.33332691
   -0.8000     -0.31735609
   -0.7000     -0.29421769
   -0.6000     -0.26464247
   -0.5000     -0.22942554
   -0.4000     -0.18941834
   -0.3000     -0.14552021
   -0.2000     -0.09866933
   -0.1000     -0.04983342
   -0.0000     -0.00000000
    0.1000      0.04983342
    0.2000      0.09866933
    0.3000      0.14552021
    0.4000      0.18941834
    0.5000      0.22942554
    0.6000      0.26464247
    0.7000      0.29421769
    0.8000      0.31735609
    0.9000      0.33332691
    1.0000      0.34147098
    1.1000      0.34120736
    1.2000      0.33203909
    1.3000      0.31355819
    1.4000      0.28544973
    1.5000      0.24749499
    1.6000      0.19957360
    1.7000      0.14166481
    1.8000      0.07384763
    1.9000     -0.00369991
    2.0000     -0.09070257
    2.1000     -0.18679063
    2.2000     -0.29150360
    2.3000     -0.40429479
    2.4000     -0.52453682
    2.5000     -0.65152786
    2.6000     -0.78449863
    2.7000     -0.92262012
    2.8000     -1.06501185
    2.9000     -1.21075067
    3.0000     -1.35887999
    3.1000     -1.50841934
    3.2000     -1.65837414
    3.3000     -1.80774569
    3.4000     -1.95554110
    3.5000     -2.10078323
    3.6000     -2.24252044
    3.7000     -2.37983614
    3.8000     -2.51185789
    3.9000     -2.63776616
    4.0000     -2.75680250
    4.1000     -2.86827711
    4.2000     -2.97157577
    4.3000     -3.06616594
    4.4000     -3.15160207
    4.5000     -3.22753012
    4.6000     -3.29369100
    4.7000     -3.34992326
    4.8000     -3.39616461
    4.9000     -3.43245261
    5.0000     -3.45892427
    5.1000     -3.47581468
    5.2000     -3.48345466
    5.3000     -3.48226744
    5.4000     -3.47276449
    5.5000     -3.45554033
    5.6000     -3.43126664
    5.7000     -3.40068554
    5.8000     -3.36460218
    5.9000     -3.32387666
    6.0000     -3.27941550
    6.1000     -3.23216250
    6.2000     -3.18308940
    6.3000     -3.13318610
    6.4000     -3.08345080
    6.5000     -3.03488001
    6.6000     -2.98845864
    6.7000     -2.94515008
    6.8000     -2.90588665
    6.9000     -2.87156024
    7.0000     -2.84301340
    7.1000     -2.82103096
    7.2000     -2.80633214
    7.3000     -2.79956338
    7.4000     -2.80129190
    7.5000     -2.81200002
    7.6000     -2.83208033
    7.7000     -2.86183177
    7.8000     -2.90145665
    7.9000     -2.95105866
    8.0000     -3.01064175
    8.1000     -3.08011019
    8.2000     -3.15926944
    8.3000     -3.24782817
    8.4000     -3.34540109
    8.5000     -3.45151289
    8.6000     -3.56560290
    8.7000     -3.68703077
    8.8000     -3.81508281
    8.9000     -3.94897914
    9.0000     -4.08788151
    9.1000     -4.23090164
    9.2000     -4.37711009
    9.3000     -4.52554558
    9.4000     -4.67522457
    9.5000     -4.82515112
    9.6000     -4.97432678
    9.7000     -5.12176063
    9.8000     -5.26647913
    9.9000     -5.40753589
   10.0000     -5.54402111
