Траєкторія:
x1: 1.00000, x2: 0.50000
x1: 1.50000, x2: 1.00000
x1: 1.50000, x2: 1.50000
x1: 1.25000, x2: 1.50000
x1: 1.37500, x2: 1.37500
x1: 1.50000, x2: 1.37500
x1: 1.43750, x2: 1.43750
x1: 1.37500, x2: 1.43750
x1: 1.40625, x2: 1.40625
x1: 1.42188, x2: 1.42188
x1: 1.40625, x2: 1.42188
x1: 1.41016, x2: 1.41797
x1: 1.41211, x2: 1.41602
x1: 1.41309, x2: 1.41504
x1: 1.41357, x2: 1.41455
x1: 1.41455, x2: 1.41406
x1: 1.41431, x2: 1.41431
x1: 1.41406, x2: 1.41431
x1: 1.41418, x2: 1.41418
x1: 1.41425, x2: 1.41418
x1: 1.41423, x2: 1.41420
x1: 1.41422, x2: 1.41421
x1: 1.41421, x2: 1.41422
x1: 1.41422, x2: 1.41422
